2026-03-14 22:48:08,469 | INFO | Fetching SAC season 2024
2026-03-14 22:48:08,728 | INFO | 82 games collected
2026-03-14 22:48:08,730 | INFO | 82 games collected
2026-03-14 22:48:12,729 | INFO | [57/90] Processing SAS 2024
2026-03-14 22:48:12,729 | INFO | Fetching SAS season 2024
2026-03-14 22:48:12,730 | INFO | [57/90] Processing SAS 2024
2026-03-14 22:48:12,730 | INFO | Fetching SAS season 2024
2026-03-14 22:48:12,932 | INFO | 82 games collected
2026-03-14 22:48:12,948 | INFO | 82 games collected
2026-03-14 22:48:16,933 | INFO | [58/90] Processing TOR 2024
2026-03-14 22:48:16,933 | INFO | Fetching TOR season 2024
2026-03-14 22:48:16,948 | INFO | [58/90] Processing TOR 2024
2026-03-14 22:48:16,949 | INFO | Fetching TOR season 2024
2026-03-14 22:48:17,545 | INFO | 82 games collected
2026-03-14 22:48:17,548 | INFO | 82 games collected
2026-03-14 22:48:21,545 | INFO | [59/90] Processing UTA 2024
2026-03-14 22:48:21,545 | INFO | Fetching UTA season 2024
2026-03-14 22:48:21,549 | INFO | [59/90] Processing UTA 2024
2026-03-14 22:48:21,549 | INFO | Fetching UTA season 2024
2026-03-14 22:48:22,217 | INFO | 82 games collected
2026-03-14 22:48:22,217 | INFO | 82 games collected
2026-03-14 22:48:26,218 | INFO | [60/90] Processing WAS 2024
2026-03-14 22:48:26,218 | INFO | Fetching WAS season 2024
2026-03-14 22:48:26,439 | INFO | 82 games collected
2026-03-14 22:48:26,444 | INFO | 82 games collected
2026-03-14 22:48:30,440 | INFO | [61/90] Processing ATL 2025
2026-03-14 22:48:30,440 | INFO | Fetching ATL season 2025
2026-03-14 22:48:30,445 | INFO | [61/90] Processing ATL 2025
2026-03-14 22:48:30,445 | INFO | Fetching ATL season 2025
2026-03-14 22:48:30,659 | INFO | 82 games collected
2026-03-14 22:48:30,664 | INFO | 82 games collected
2026-03-14 22:48:34,660 | INFO | [62/90] Processing BOS 2025
2026-03-14 22:48:34,660 | INFO | Fetching BOS season 2025
2026-03-14 22:48:34,664 | INFO | [62/90] Processing BOS 2025
2026-03-14 22:48:34,664 | INFO | Fetching BOS season 2025
2026-03-14 22:48:34,885 | INFO | 82 games collected
2026-03-14 22:48:34,894 | INFO | 82 games collected
2026-03-14 22:48:38,885 | INFO | [63/90] Processing BRK 2025
2026-03-14 22:48:38,885 | INFO | Fetching BRK season 2025
2026-03-14 22:48:38,895 | INFO | [63/90] Processing BRK 2025
2026-03-14 22:48:38,895 | INFO | Fetching BRK season 2025
2026-03-14 22:48:39,135 | INFO | 82 games collected
2026-03-14 22:48:39,137 | INFO | 82 games collected
2026-03-14 22:48:43,135 | INFO | [64/90] Processing CHO 2025
2026-03-14 22:48:43,135 | INFO | Fetching CHO season 2025
2026-03-14 22:48:43,137 | INFO | [64/90] Processing CHO 2025
2026-03-14 22:48:43,137 | INFO | Fetching CHO season 2025
2026-03-14 22:48:43,329 | INFO | 82 games collected
2026-03-14 22:48:43,332 | INFO | 82 games collected
2026-03-14 22:48:47,329 | INFO | [65/90] Processing CHI 2025
2026-03-14 22:48:47,329 | INFO | Fetching CHI season 2025
2026-03-14 22:48:47,332 | INFO | [65/90] Processing CHI 2025
2026-03-14 22:48:47,332 | INFO | Fetching CHI season 2025
2026-03-14 22:48:47,611 | INFO | 82 games collected
2026-03-14 22:48:47,613 | INFO | 82 games collected
2026-03-14 22:48:51,611 | INFO | [66/90] Processing CLE 2025
2026-03-14 22:48:51,611 | INFO | Fetching CLE season 2025
2026-03-14 22:48:51,613 | INFO | [66/90] Processing CLE 2025
2026-03-14 22:48:51,613 | INFO | Fetching CLE season 2025
